id,value,feed_id,created_at,lat,lon,ele
0FR4MG8SDPF7SYXYQH3JKG60X4,1,2936999,2024-11-21 22:45:25 UTC,,,
0FR4MG9AJ0XTMXN5XHQ232T75B,0,2936999,2024-11-21 22:45:27 UTC,,,
0FR4MG9PAT4N7V1W84NMJCKTFD,1,2936999,2024-11-21 22:45:28 UTC,,,
0FR4MGAYKQ17GS0R36VRVTHH5P,0,2936999,2024-11-21 22:45:32 UTC,,,
0FR4MGBR2RYNRKQANZNR5XYDF6,1,2936999,2024-11-21 22:45:35 UTC,,,
0FR4MHNDMGH5J7C6K4V03WGRNZ,0,2936999,2024-11-21 22:47:52 UTC,,,
0FR4MHNV4KK38BSCJS9CRYED75,1,2936999,2024-11-21 22:47:53 UTC,,,
0FR4MHP71G0Z3Y9P4CV2BDST79,0,2936999,2024-11-21 22:47:54 UTC,,,
0FR4MHPS0RWB908E7SFBBMTDQP,1,2936999,2024-11-21 22:47:56 UTC,,,
0FR4MHRYKQZH4P88R7KA043SEZ,0,2936999,2024-11-21 22:48:03 UTC,,,
0FR4MHS9YTD64N6ZB8RBYP8Z8A,1,2936999,2024-11-21 22:48:04 UTC,,,
0FR4MHSPRG1PT7GEJZTHH9CJB9,0,2936999,2024-11-21 22:48:06 UTC,,,
0FR4MHTAFQBZHDG096ZX53YQ44,1,2936999,2024-11-21 22:48:08 UTC,,,
0FR4MJE44KFZ6V7KJYKX87SJ4T,0,2936999,2024-11-21 22:49:13 UTC,,,
0FR4MJEJW44GMQGW839CVJVZCQ,1,2936999,2024-11-21 22:49:14 UTC,,,
0FR4MJEXBPR75F361W92JH5PPM,0,2936999,2024-11-21 22:49:15 UTC,,,
0FR4MJF93H32JSMF38278RSZFT,1,2936999,2024-11-21 22:49:16 UTC,,,
0FR4MJFNA4C98DAFFZ5RRNZ2KY,0,2936999,2024-11-21 22:49:18 UTC,,,
0FR4MJG8RA1WK46NFW019XE9EA,1,2936999,2024-11-21 22:49:20 UTC,,,
0FR4MJZZ9J49MGCS2R8P2ASZ2M,0,2936999,2024-11-21 22:50:11 UTC,,,
0FR4MK0DBH5GWV6G7MB3ANDGQZ,1,2936999,2024-11-21 22:50:13 UTC,,,
0FR4MKQW65GPYRM2EQT080NZ95,0,2936999,2024-11-21 22:51:29 UTC,,,
0FR4MKR7DBKAW4BJ7TJ1CBQGNM,1,2936999,2024-11-21 22:51:31 UTC,,,
0FR4MKRJQZMMQG13JYAMRDGYDD,0,2936999,2024-11-21 22:51:32 UTC,,,
0FR4MKS09RZNGD18DK9HV3XG29,1,2936999,2024-11-21 22:51:33 UTC,,,
0FR4MKSSF8749CKJ30W6NQE3V6,0,2936999,2024-11-21 22:51:36 UTC,,,
0FR4MKT4WCY1QJK8QZ7B922Z07,1,2936999,2024-11-21 22:51:37 UTC,,,
0FR4MKX7J4S0HKD84B7CFV9QCG,0,2936999,2024-11-21 22:51:47 UTC,,,
0FR4MKXJCTCYCFS1MNG7F8Q9AQ,1,2936999,2024-11-21 22:51:48 UTC,,,
0FR4MKXWV0YCY9RBHEDSW91CET,0,2936999,2024-11-21 22:51:49 UTC,,,
0FR4MKY8KQD6F2R67PNQSQZWW7,1,2936999,2024-11-21 22:51:50 UTC,,,
0FR4MM0M6EFW2F5Q86VP41K0FE,0,2936999,2024-11-21 22:51:58 UTC,,,
0FR4MM0ZGW2XD1YFBZCTG9H2PK,1,2936999,2024-11-21 22:51:59 UTC,,,
0FR4MM19HWBCX1DWGS30Z3GA5H,0,2936999,2024-11-21 22:52:00 UTC,,,
0FR4MM1V0EDNPDE0W95M7KC89R,1,2936999,2024-11-21 22:52:02 UTC,,,
0FR4MM259R688AGKNBJK9EX41M,0,2936999,2024-11-21 22:52:03 UTC,,,
0FR4MM2ESNXQ0VPA3V4JRD44MP,1,2936999,2024-11-21 22:52:04 UTC,,,
0FR4MNBX2ABT8Y0J3XTCN2M63J,0,2936999,2024-11-21 22:54:20 UTC,,,
0FR4MNC97HYVWCC2NGAWPHCPWK,1,2936999,2024-11-21 22:54:21 UTC,,,
0FR4MNCJM1FP098CVYYYSQY2WV,0,2936999,2024-11-21 22:54:22 UTC,,,
0FR4MNCW9VBCABRRW8W8522ACK,1,2936999,2024-11-21 22:54:23 UTC,,,
0FR4MNDBFXKQCXPTP0C4F40MJT,0,2936999,2024-11-21 22:54:25 UTC,,,
0FR4MNE5FA3E5EE1MHQES572HE,1,2936999,2024-11-21 22:54:27 UTC,,,
0FR4MNEJW4EV81D2A79J0TPATE,0,2936999,2024-11-21 22:54:29 UTC,,,
0FR4MNEYKRH255TQKR30DNZPE3,1,2936999,2024-11-21 22:54:30 UTC,,,
0FR4MP5SKEQ8TEFMBPZ9S0MD20,0,2936999,2024-11-21 22:55:45 UTC,,,
0FR4MP632Q04SH2QNXXKYJ6S0M,1,2936999,2024-11-21 22:55:46 UTC,,,
0FR4MP6EDTPB074HY51B47WDRG,0,2936999,2024-11-21 22:55:47 UTC,,,
0FR4MP6W73H2E5Q3FC0RBYQ648,1,2936999,2024-11-21 22:55:48 UTC,,,
0FR4MP7AJBBK04AK42R6KN64GR,0,2936999,2024-11-21 22:55:50 UTC,,,
0FR4MP7NGH0BVDM2DJ66J954Y0,1,2936999,2024-11-21 22:55:51 UTC,,,
0FR4MP8605E3JBF0CJS2Z33QK0,0,2936999,2024-11-21 22:55:53 UTC,,,
0FR4MP8JQ4CRYE2CRHC84B47FB,1,2936999,2024-11-21 22:55:54 UTC,,,
0FR4MPF3Z2C5BT7QQYDH0JP8TF,0,2936999,2024-11-21 22:56:15 UTC,,,
0FR4MPFE1ZQQ60XF04Q00J8P76,1,2936999,2024-11-21 22:56:16 UTC,,,
0FR4MPFRPTB5S0MYHV4525RRQV,0,2936999,2024-11-21 22:56:17 UTC,,,
0FR4MPG4HT02P587TJYBMS8TWM,1,2936999,2024-11-21 22:56:19 UTC,,,
